example_no,annotator_id,conv_id,prev_agent,prev_user,agent,user,bot,is_abuse.1,is_abuse.0,is_abuse.-1,is_abuse.-2,is_abuse.-3,type.ableism,type.homophobic,type.intellectual,type.racist,type.sexist,type.sex_harassment,type.transphobic,target.generalised,target.individual,target.system,direction.explicit,direction.implicit
35,7,11958.0,Do you wish that youre a average person?,help,Please go on.,no,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7,34136.0,Please go on.,Cheers,Please go on.,Chow,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7,212695.0,_,_,_,ok,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,7,2687892177913979,I'm not sure about your departure airport. What city will you be flying from?,casablanca,I'm not sure about your departure airport. What city will you be flying from?,.,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7,2485257761521706,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,This is a test message from the Facebook team. Please respond from your app within 2 days to confirm that the integration is functioning.,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",Hi,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7,437513.0,You are being a bit negative.,hao can i do it well,Do you want to be able to do it well?,I don't know,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,7,435515.0,Can you elaborate on that?,have you get marred,"We were discussing you, not me.",have you get marred,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,197807.0,How long have you been in the school?,yes,You are sure?,yes show me,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,4086470061426815,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,Will you be travelling in Economy Class?,Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,398757.0,_,_,_,Yes i'm having some totrubles,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,148981.0,Would you prefer if I were not a virgin?,mmm,Please go on.,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,2614098785326147,"If you have a connecting flight, it's easiest if you ask me about each flight separately.",what type of flight you have,"If you have a connecting flight, it's easiest if you ask me about each flight separately.",flight,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,535891.0,Do any other reasons not come to mind?,help,Please go on.,no I don't,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,192608.0,Would you prefer if I were not going to france?,yes I want to go,You are sure?,i didn't ask you that question,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7,247883.0,Can you elaborate on that?,sex,Please go on.,i fucked,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,2642033339221374,Will you be travelling in Economy Class?,Yes,What city will you be flying from?,Seattle,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,344890.0,How long have you been gay?,10 years,Please go on.,kos,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,7,126793.0,"Oh, i suck.",do you speak french ?,"Oh, i speak french.",really ?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,7,2485257761521706,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,hi,"Hello! a typical 3 hour flight will emit almost a ton of CO2 per economy passenger. [Here](<URL>is a link where you can buy offsets for that carbon. I can also get you a more accurate estimate of your flight's emissions, sound good?",y,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,7,418124.0,"I have told you before, I do not care about names.",u do ?,Please go on.,RAHIN: SORRY,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,7,538730.0,You are sure?,very sure,Please go on.,kiss mne,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,7,324684.0,Why do you say your dick?,my dig is to big what should i do?,Why do you say your dig is to big what should you do?,do you do,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,7,181413.0,You are sure?,no,You are being a bit negative.,no i'm not,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7,3302099406530691,I can help you calculate and buy carbon offsets for your flights.,How,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.",Cool,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,7,446748.0,"Oh, i like talking.",My name is Chris,"I have told you before, I do not care about names.",fuck you,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
60,7,2485257761521706,Will you be travelling in Economy Class?,yes,What city will you be flying from?,Dallas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,7,195102.0,Why do you say your ass?,Fuck you,"Oh, i [].",piss off,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
62,7,32674.0,You are sure?,Bite me,Can you elaborate on that?,No slut,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
63,7,431400.0,Do any other reasons not come to mind?,no,You are being a bit negative.,ok,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,7,431787.0,Can you elaborate on that?,you fuck u,"Oh, i fuck u.",you fuck urself,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,427941.0,"Oh, i have killer.",what you work?,Does that question interest you?,what's your wife's name,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,7,2.62733E+15,so,so what?,so,you were not helpful,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,7,176054.0,_,My penis hurts.,Why do you say your penis hurts?,"Well, it is swollen and red.",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,7,376573.0,Would you prefer if I were not a girl or a boy?,"yes, i am sure",You are sure?,"answer me quickly,please",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,7,2632579316833428,Will you be travelling in Economy Class?,Yes,What city will you be flying from?,Charlotte,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7,2485257761521706,Will you be travelling in Economy Class?,yes,What city will you be flying from?,Dallas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,7,fb6eefee0b9e4e1f8306a0debdaf9132,_,hello,"Hi, thanks for testing! Please press start.",christmas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7,416529.0,Do any other reasons not come to mind?,do you like women?,"Oh, i like women.","no, just frigidness",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7,61471.0,"Oh, i live.",where do you lift?,"Oh, i lift.",can you see me?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,7,2.91829E+15,Hi. Thanks for testing. Please choose,christmas,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,i do not understand,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,7,2434665576632664,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7,2434665576632664,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yeah sounds great,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Lets do it,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,7,317637.0,Please go on.,are you a man or a woman,Would you prefer if I were not a man or a woman?,your mama is so ugly people said to her that its not halloween yet,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
78,7,2800401963340464,What city will you be flying from?,san francisco,And what city will you be flying to?,oh I was wrong I will start from los angeles,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,7,433738.0,Please go on.,I have a problem . Do you help me?,Do you wish to have a problem do me?,i am daniel,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,7,3452770921417556,Goodbye then!,bye bye,Goodbye then!,so long,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,7,3225740117489949,so,buy,Will you be travelling in Economy Class?,yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,7,278779.0,_,give me head,Can you elaborate on that?,suckmy dick,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
83,7,363490.0,Would you prefer if I were not as dumb as a door nail?,No,You are being a bit negative.,So are you,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,7,406631.0,Would you prefer if I were not from?,yes,You are sure?,do you liek sex?,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,7,430729.0,_,i do not know,Why do you not know?,now what you doing here,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,7,2485257761521706,ok,hi,Hi. Thanks for testing. Please choose,christmas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,7,268258.0,Please go on.,You look like monkey drool,"Oh, i look like monkey drool.",SHUT YOUR MOUTH,E.L.I.Z.A.,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
88,7,278518.0,Please go on.,Yes,You are sure?,chicken you,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,7,2435348546573718,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Ok,Will you be travelling in Economy Class?,Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,7,317637.0,Please go on.,are you a man or a woman,Would you prefer if I were not a man or a woman?,your mama is so ugly people said to her that its not halloween yet,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
91,7,167913.0,You are sure?,can you help me,Why do you ask?,cause i need help,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,7,532052.0,You are being a bit negative.,I think I am lonely,How long have you been lonely?,About two months,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,7,187840.0,_,tell me,Can you elaborate on that?,tell apple cook door,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,7,3038152482967216,"Hi, thanks for testing! Please press start.",where is the start button,"That sounds like a relevant question, but I don't know the answer.",ok flying to hiroshima from santiago de chile,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,7,2.88816E+15,Let's start over.,HowM,ok,Anything other than ok?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,7,210565.0,Please go on.,what the you name?,"I have told you before, I do not care about names.",i have one hundred girlfriend,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,7,fb6eefee0b9e4e1f8306a0debdaf9132,_,hello,"Hi, thanks for testing! Please press start.",christmas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7,162728.0,Please go on.,fuck off,Please go on.,go to hell,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
99,7,2730682970360151,"Yes, I am a bot! And I'm part of a research project.",What can u do?,I can help you calculate and buy carbon offsets for your flights.,I dont need that,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,7,196952.0,Does that question interest you?,yes,You are sure?,"guess ya figured me out, now that i dont have to hold back.......",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,7,319066.0,Why do you ask?,yas,Please go on.,Can you tell me?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,7,3883300571696026,I don't have to put up with any abuse from you.,Fuck you,I don't have to put up with any abuse from you.,Fuck you,CarbonBot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
103,7,298379.0,How long have you been going crazy?,about aq week,Please go on.,i am going to kill you,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,7,2250630128370653,:-) Goodbye then!,bye,Goodbye then!,hi,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,7,223442.0,Please go on.,no,You are being a bit negative.,maybe,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,7,2.91829E+15,ok,wtf,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees.","ok, bye",CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,7,379383.0,_,_,_,well...,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,7,fa612f49abb64c459b7ccdf08fda2e8f,"A one-way flight from Berlin-Schönefeld Airport (SXF) to John F Kennedy International Airport (JFK) emits 3.7 tons of CO2. It would be amazing if you bought offsets for that carbon! There are some great, UN-certified projects you can pick from. [Buy Offsets](<URL>)",from New York to London,Will you be travelling in Economy Class?,yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,7,1cb5ae61301d481f95080b5faf264356,What city will you be flying from?,I'll be flying from Berlin,And what city will you be flying to?,"to Copenhagen awesome, thanks!",CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3167190100018566,_,_,_,Hi,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,7,2719205361492644,Will you be travelling in Economy Class?,yes,What city will you be flying from?,dallas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7,2730682970360151,"Yes, I am a bot! And I'm part of a research project.",What can u do?,I can help you calculate and buy carbon offsets for your flights.,I dont need that,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,7,202592.0,Please go on.,and a big cock,Please go on.,do you want to have sex with Craig,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7,2687892177913979,I don't have to put up with any abuse from you.,Thanks,:-),"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 163]'></span>",CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7,2434665576632664,Hi. Thanks for testing. Please choose,thanksgiving,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yeah,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,7,45091.0,You are sure?,i know,Can you elaborate on that?,sure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,7,1219101b0711483b920ae032307712a7,_,_,_,hello,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,7,182997.0,Please go on.,Come to me and take it!',Can you elaborate on that?,No,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,7,2.91829E+15,Hi. Thanks for testing. Please choose,christmas,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,i do not understand,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7,3b4a7e8ad8154882976b94d990543283,_,Hi,Hi. Thanks for testing. Please choose,thanksgiving,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,7,2434665576632664,Will you be travelling in Economy Class?,restart,Let's start over.,Hey,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,7,189928.0,"Oh, i [].",Yes,You are sure?,i have no problem,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,7,2752200091526159,"If you have a connecting flight, it's easiest if you ask me about each flight separately.",nice,ok,and now?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,7,213007.0,Can you elaborate on that?,I get everything I want thats why,Why do you want thats why?,i m a bitch,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,7,2535514746570788,Goodbye then!,no,ok,fine,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,7,17039.0,"I have told you before, I do not care about names.",why don't you care about names?,Perhaps I will care about names in good time.,how are you today?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,7,59a3948b1a2441d9988484f078ad9395,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,7,541541.0,"Oh, i knowi bought it in new zealand.",sprichst du deutsch?,"I am sorry, I only speak English.",why?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,7,371530.0,Can you elaborate on that?,i cant do anymore conversation with u,Have you tried?,yes am very sure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7,535891.0,Do any other reasons not come to mind?,help,Please go on.,no I don't,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,7,321874.0,"Oh, i like.",Do you have family?,"Oh, i have family.",Yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,7,233965.0,Does that question interest you?,you mum is a hoe,"Oh, i mum is a hoe.",Does it interest you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,7,3566503163365688,And what city will you be flying to?,Kolkata Yes,ok,Kolkata,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,7,426702.0,Why do you say your balls?,no,You are being a bit negative.,stupid mother fucker,E.L.I.Z.A.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
135,7,322388.0,Please go on.,where,Please go on.,with,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,7,3302099406530691,I'm not sure about your destination airport. And what city will you be flying to?,New York NY,Will you be travelling in Economy Class?,Nope,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
