index,tweet,implicit,explicit,target_groups,annotator_sentiment,abuse_level
1300,@user @user لا نظرتهم دايم بالمتحرش ، مبعدين كل النظر عن وش اسباب التحرش و ليش تحرش ، ما ابرر له ولا لغيره لكن… @url,1,0,0,2,2
10652,@user The number of leftist extremist terrorist/mass shooters eclipses the number on the right.\nYour contenti\u2026 @URL,1,0,0,7,1
8012,@user reading article end i'm troubled choice let twat on. lord @url,1,0,0,2,1
553,رؤساء اتحادات الرماية الافارقة في زيارة الي قناة السويس الجديدة @url,1,0,0,0,1
7865,lmao ching chong. sometimes simplest slander funniest,1,0,0,3,2
14668,@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url,0,1,0,2,1
12873,Take that shit off you're face ya daft muzzie twat!!\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 @URL,1,0,0,7,1
2964,@user ماذا تتوقع من زباله عزمي و خنازير إلاخوان غير الكذب ز والتزييف و الارهاب,1,0,0,2,2
3216,@user يا قطيش قلّي منين جايب هالوسخ,1,0,0,0,1
12346,@user You fucking cheating cunt. Ball to hand? Lying dirty bastard,0,1,0,8,1
1653,@user @user مكثرين من بول البعير,1,0,0,2,1
18351,@user @user donc en fait pour proteger les especes animales vous les condamnez l'extinction... @url,1,0,0,1,1
73,بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها,1,0,0,0,1
15650,@user @user @user et dites aussi vive le front national pendant que vous etes ! c'est une histoi... @url,0,1,0,0,2
7047,@user blaming victims saying armed--imagine shithole country @url,1,0,0,4,1
3866,@user @user @user @user @user better,1,0,0,4,1
18227,@user @user yen ils ont du mal capter hein c'est fou,1,0,0,1,1
15421,@user long comme le regard qui s'attarde sur ton corps,0,1,0,0,1
2207,حد هنا اتكلم قبل كدة عن عدم جدوى شكوانا ع النت من التحرش وانه مابيوصلش لطبقات كتير.. اللي اتكلموا واتحمقوا كانوا شب… @url,1,0,0,6,1
16679,@user mais biensur que oui mongol,0,1,0,2,1
12875,@user Don't be mosquitoes exist only to bring disease and suffering,1,0,0,2,2
18073,@user rhaa le vieux message en mode complotiste au moins t'as compris que t'as plus que tes mongols de… @url,0,1,0,1,1
3257,@user وانتم بس قاعدين تخنثوا بعض وناطرين الناس تبلعكم مثل البهايم .. ما في أخس وأنجس منكم يا خنازير !!,1,0,0,2,1
373,@user @user @user @user خنازير,0,1,0,0,1
7313,@user whey aye pull horses jump cunt one furlong 5 lengths front hahaha,1,0,0,1,1
2161,@user @user حسبي الله عليكم يا خنازير اسرائيل,0,1,0,0,3
16288,l'islam est innocent du terrorisme @url,0,1,0,7,2
18002,@user @user et un mongol consanguin incapable de réfléchir par lui même comme il en pullule désormais sur la planète.,1,0,0,0,1
2770,@user هد خنزير من الإنس صديق الشيطان ابن إبليس الأكبر,1,0,0,2,1
2201,@user @user منشوري السابق كانت الاجابة بس الظاهر انت مكثر من شرب بول البعير وهذا مؤثر على عيونك ما كاعد… @user,0,1,0,0,1
759,على مهلك خدينك بحلمك لوين يا رامز لجوا له ولي لبرا بتاخدا وبتكزدرها وسنفرلو عل السنفريان ،وصل بول البعير… @url,1,0,0,2,1
1899,يقولون بول البعير ينعم الشعر،.,1,0,0,0,1
2321,هنطلع من افريقيا النهارده.,1,0,0,0,1
18319,@user @user @user @user je suis une gauchiste libertaire et catholique pas tres orthodox... @url,1,0,0,0,1
850,#ديوث #سالب #شرموطة,1,0,0,4,3
1071,مش معنى أنك شخص راضى بوضع وسخ ومبتحاولش تغيره أن المفروض كلنا نبقى زيك، مش من حقك تقول لحد عايز يحسن من نفسه ومن حي… @url,1,0,0,1,2
8020,@user sorry what? simply pointing white immigrants. bit racist onl @url,1,0,0,1,1
18146,@user @user normal. n'est jamais à l'abri d'un gauchiste dégénéré.,1,0,0,2,2
133,متحنش لحد باعك يا وسخ,0,1,0,0,1
12400,@user @user Uhhh I think that how he was killed. With \u201cevery stone\u201d! \nCan\u2019t trust a raghead as far as I ca\u2026 @URL,1,0,0,7,2
7759,@user yeah leftist mob never thing rightist terrorist mob thing!,1,0,0,4,1
13617,@user futurama made people less retarded than the simpsons,1,0,0,2,1
3246,الحريم يخدعونكم والرجال يخدعونكم,1,0,0,0,1
869,@user @user محمد صلاح فاشل.  ممكن لو بياكل الكبسه ويشرب بول البعير وينام علي الكنبه وهو بيلاعب بلس… @url,0,1,0,2,1
17022,delormeau... quel attarde bordel @url,0,1,0,2,1
9979,@user I'm not a conspiracy theorist but I think the leftist media will make this all about a certain ver\u2026 @URL,1,0,0,2,1
15504,@user mdrrr était juste à côté rien entendu un attardé ce mec @url,1,0,0,2,1
465,@user @user @user والله الكلب وفي يا زلزال ذوب خنازير الله يلعنهم في كل كتاب,0,1,0,0,1
15532,@user mlq mongol,0,1,0,4,1
11407,@user &lt; It's often difficult to remember that this IS NOT a parody account! Trump really is this much of a cunt,0,1,0,2,1
17492,@user je vais pousser votre logique gauchiste jusqu'au bout : que tu sois curé ou antifa si tu es un ho… @url,1,0,0,2,1
1725,@user يخرب عقلك هذي يدفعون لها ديه هذي يهدونها تابوت جثه حمار او خنزير ماله رجلين اما ديه لا مستحيل كبيره جد… @url,1,0,0,1,1
13864,The audacity of men. I don\u2019t owe you shit ya fuckin twat \ud83e\udd26\ud83c\udffc\u200d\u2640\ufe0f\ud83d\udc81\ud83c\udffc\u200d\u2640\ufe0f,1,0,0,4,1
14209,Once you go Hardy you go retarded. \ud83e\udd2a\ud83d\ude02\ud83d\udc81\ud83c\udffe\u200d\u2640\ufe0f @URL,1,0,0,3,2
3708,nyc shithole country god quickly destroyed rudy build shameless @url,1,0,0,7,2
13564,@user @user I just saw a bunch of screenshots of today's shooter's gab. He hates Trump hates Jews. A leftist\u2026 @URL,1,0,0,1,1
18069,@user @user mdrrrr. t'es trop mignon,1,0,0,0,1
2221,وكسمي انا اذا وثقت ب اي كائن بشري خنيث طرل عمري متحفظه ع نفسي وم اثق بدق ماكان ولما وثقت اتحولو لمخانيث عيال سته وستين زبالع ومستنقع خنازير,1,0,0,2,1
1097,@user @user @user وفقك الله ونصر بلادكم على خنازير المجوس,0,1,0,0,1
1883,#عدوان_خنازير_الخليج جعلهم الله مضرب للسخرية فى هذا العصر,1,0,0,0,1
485,@user @user ههههههههههههههههههههههههههههههههههههههههههه وسخ,1,0,0,0,1
3226,@user هندوس علي الاتنين واللي مش عاجبة يروح @url,1,0,0,2,3
1868,جمهور وسخ ونادي ابن وسخه اصلا @url,1,0,0,2,1
14431,@user RAMACHANDRA Ghua and Rajdeep are against Hindus in the name of secularism and leftist media propaganda th\u2026 @URL,1,0,0,6,1
1217,ترمب يدافع عن كافانا: إدعاءات التحرش هدفها سياسي,1,0,0,0,1
5431,ever complain tinpot dictatorships shithole countries happens greatest' democ @url,1,0,0,7,1
4671,@user icicle twat,1,0,0,4,1
15929,@user @user tout à fait d'accord pour summoning! comme ca s'attarde sur le côté sombre du seigne… @url,1,0,0,2,1
2283,ماعندي مشكلة بأن تخفي عني تفاصيل حياتك، ولا عندي مشكلة لو قلتها وكانت منحرفة ومتطرفة؛ المشكلة إنك تختار تكذب في الوقت اللي تقدر تنطم فيه.,1,0,0,0,1
5048,@user fucked uk fucked (because i'm twat)' @url,1,0,0,7,1
16201,@user putain mais même le plus mauvais des mauvais défenseurs ne taclerait pas comme un mongol 2m de ses buts.,1,0,0,2,1
15669,@user @user @user @user @user @user c'est une double négation espèce d'attardé m… @url,0,1,0,2,1
13027,Fuck Mormons and their polygamist con artist worshipper retard asses unironically Muslim tier,0,1,0,3,3
13858,Got an opening in my wallet for a new credit card. Who\u2019s filling that slot. \n\nWhich faggot thinks there worth that.\u2026 @URL,1,0,0,4,1
3956,@user yep; that's quid pro quo peters supporting refugees,1,0,0,6,1
15381,@user @user l’antisémitisme de nos jours vient de l’extrême-gauche et de l’islam.,0,1,0,6,1
13595,Old dirty jew bitch absolutely protecting the entire jewed up structure of filth.,1,0,0,7,1
17393,@user tu ete plus que respectueux les autres beaucoup moins !,1,0,0,0,1
2964,@user ماذا تتوقع من زباله عزمي و خنازير إلاخوان غير الكذب ز والتزييف و الارهاب,1,0,0,2,2
7313,@user whey aye pull horses jump cunt one furlong 5 lengths front hahaha,1,0,0,1,1
4597,@user looks like got retarded horse family guy @url,1,0,0,9,1
3335,@user متبرجة,1,0,0,0,1
7853,deany smith listening nto song we're singing nwe're 5 points front nyou fat ginger cunt nwalkin @url,1,0,0,7,1
16146,@user et meme s'il du pillage c'est encore un cliche gauchiste d...exiger que le peuple de france ent... @url,1,0,0,0,1
9698,@user I wanna kill em raghead style pour acid on them and shove razor wire up their ass that's what th\u2026 @URL,0,1,0,4,1
2821,@user وعندما كنا نقول  أن سياسات الممانعة لا يجب أن تتحول الى سياسات ممايعة كان السوريون  يعتقدون أن تعليق… @url,1,0,0,1,1
18375,@user @user il est juste attarde,0,1,0,2,1
13460,@user @user Shooter was A Nazi a leftist terrorist and a Palestinian sympathizer...,1,0,0,2,1
2780,@user وش ذي البنت الجرائيه اللي بتسوي كذا ياخي مالك شغله الا الحريم انت وسكسوكت الخرا,1,0,0,2,1
1532,خنزير آدمي يدعي الامانه ويصلي صلاة الجماعه يدعي الأخلاق الحميده يساعد الناس,1,0,0,2,2
17919,@user @user c ça votre problème frère parle de kamila oklm pk tu ramène laura ? wsh c une maladie ou quoi ?,1,0,0,2,1
1424,حمامات وبالوعات جري يرفضون اﻻعتذار لي على اﻻساءات والالفاظ السوقية التي تلفظوها ضدي الحمام يظل حمام جري وسخ طول حياته,1,0,0,0,1
7489,ching chong pyro agree @url,1,0,0,4,1
16631,@user @user un bon écologiste bobo gauchiste. il joue au milliardaire avec l'argent provenant de l'escroquerie de nos impôts.,1,0,0,0,1
17907,@user @user alors ouvre pas trop ta gueule. parce que ici qui besoin d'une substitution la vi... @url,0,1,0,0,1
3246,الحريم يخدعونكم والرجال يخدعونكم,1,0,0,0,1
16156,@user @user @user mdr le club qui le plus de footix attardé c ton club mdr le club le plus corrompu de l histoire,0,1,0,2,1
17941,@user la violence mdrr va falloir que tu censure tes tweets,1,0,0,0,1
6215,glad johnson beat lobov hate little midget cunt,1,0,0,6,1
2797,@user مع فارق بسيط؛ هو أن هذا السفيه يغذي حيوانا اكرمه الله، بينما سيده ابن سلمان يغذي بأموالنا خنازير امريكا واوروبا، وكلاب الوطن.,0,1,0,2,1
17110,@user @user non psychophobe c'est quand stigmatise les maladies mentales : dire qu'untel est attard… @url,1,0,0,1,1
16668,@user @user j'aimerais trop mettre un nom sur ça tronche de mongol en fait non pas mongol ce serais fa… @url,1,0,0,2,1
4338,feminazi sluts prosecuted false accusations publicly defame @url,0,1,0,2,1
17742,dans toutes les larmes s'attarde un espoir .,0,1,0,0,1
15210,mais putain c'est quoi encore ces histoire merde !! en à vraiment marre de ces personnes. bande d'attardé que vou… @url,0,1,0,7,1
15650,@user @user @user et dites aussi vive le front national pendant que vous etes ! c'est une histoi... @url,0,1,0,0,2
1510,هو البدوي شارب بول البعير ليه بيوافق نسوانه تشوف اجسام و فخاد و حمامة رجال مفتولي العضلات و مش موافق الستات الرجال… @url,0,1,0,0,1
8822,#naankuse #volunteerafrica #wildlife #conservation #fridays #animals #chac,1,0,0,3,1
18484,@user @user sa change en quoi le fait que les sjw sont des attardé mentaux ?,1,0,0,2,1
1846,يامطي الفرس,0,1,0,2,1
16713,@user @user @user @user bande de mongol... il craché sur l arbitrage francais ey avait bi… @url,0,1,0,1,1
4930,yes bs . they're leftist socialist democrat domestic terrorist party members hate fact @url,1,0,0,6,1
14231,@user @user @user @user @user @user @user @user @URL,1,0,0,4,1
5169,actually love mongy mackem face @url,1,0,0,6,1
16819,@user j’ai vu quelques renois la pépom j’espère qu’un va la gérer pour qu’elle ne tweet plus jamais ces conneries,0,1,0,3,1
472,خليك ع بول البعير اطيبلك @url,0,1,0,0,1
15998,@user vai dormir mongol,0,1,0,4,1
1632,ومليشيات مسلحة  منحرفة,0,1,0,4,1
10381,\u266a Gimme a break gimme a break. Break me off a piece of that fat retard \u266a @URL,1,0,0,2,1
14979,êtes vous pour ou contre l’avortement ?,0,1,0,0,1
452,@user @user @user خنازير وخونة وارهابيين وعملاء وأولهم الخنزير الاكبر حسن البنا وولي عهده اله… @url,0,1,0,2,1
6827,@user i'm calling raghead bismarck byombo money,1,0,0,2,1
17115,@user @user non c'est forcement une saloperie de gauchiste,1,0,0,1,4
1315,@user @user @user فعلا انك حيوانة كبيرة.. فعلا انك بول البعير الي بتشربيه مخليكي حمارة و ما ع… @url,0,1,0,0,1
16039,@user @user ah bah si veut lui explose sa race au char leclerc car eu l'intelligence de le developper,1,0,0,0,4
2461,كرمه ولا تقول معه شيء وسخ زي تربيتك,1,0,0,0,1
16500,l'islamisation de la france est un fantasme.… @url,0,1,0,1,2
11988,Make sure your place is at least spic and span before inviting a Leo over.,1,0,0,8,1
5768,go fuck orange twat. @url,1,0,0,6,1
1417,@user هذا المستشار الكلب خنزير ومرتد,0,1,0,4,2
14600,I done punched a bitch in the face for callin Esco a spic n he dont even play the race card,1,0,0,1,1
2976,@user موت بغيضك ياملعون..لوانت رجال تعال...ووقفهم انت.وترجل.ماجالس هارب مثل الحريم..وتلهف بلسانك مثل الكل… @url,1,0,0,2,1
7388,megyn _who cares lew says_ain't even real raghead but_ @url,1,0,0,2,1
326,@user @user عسى بول البعير علاجك وتشربه ولا ينفعك اطهر بلد دعى سيدنا براهيم ان الله يحفظها فستجاب له ولله الحمدددد والمنه,1,0,0,2,1
15867,@user @user exemple tout bete,1,0,0,0,1
14942,mais qui est l’attardé qui rédigée cette loi de merde ? @url,0,1,0,6,1
5207,memes team 10 conspiracy galactic faggot,1,0,0,3,1
6129,@user @user @user come randy get speed dead raghead reporter last year's news mov @url,1,0,0,4,1
1059,@user @user @user اه والله شايف ذبحنا بول البعير  مش مخلينا نفهم نظرت العالم المثقف المطلع النبيل الشريف,1,0,0,0,1
15131,@user @user @user @user il des espece qui ce retrouve pas dans la nature et sans... @url,1,0,0,0,1
7090,@user goal dnc... import addict immigrants towelfare programs order guarantee @url,1,0,0,2,1
10902,Memes Team 10 conspiracy you galactic faggot,1,0,0,3,1
14956,@user un témoin de l'empreinte des presque trois cents ans d'existence cumulées de l'empire mongol et de la horde d'or.,1,0,0,2,1
5803,@user @user god knows californians unstable. think california could one shithole coun @url,1,0,0,1,2
18437,@user vu que tu fais le fils de pute de mauvaise foi avec la fi va jouer à ton jeu d'attardé.,0,1,0,3,1
16375,@user ptdrrr elle est attardé,1,0,0,2,1
598,نأمل ان يزداد الوعي لدى الجميع ..فمشكلة التحرش اصبحت مقلقه للجميع @url,1,0,0,0,1
1346,لقد تعلمت مند زمن طويل ألا أتعارك مع خنزير لأنني بذلك سأتسخ وذلك يروق له . - جورج برنارد شو  #ادب_الشتاء,1,0,0,2,1
2201,@user @user منشوري السابق كانت الاجابة بس الظاهر انت مكثر من شرب بول البعير وهذا مؤثر على عيونك ما كاعد… @user,0,1,0,0,1
17483,petit moment romantique sur une balançoire au bord de la mer @url,0,1,0,1,1
7911,@user @user saw bunch screenshots today's shooter's gab. hates trump hates jews. leftist @url,1,0,0,1,1
17869,@user @user @user le gauchiste est aveugle il rend sourd et aveugle. le gauchiste ne se... @url,0,1,0,0,1
15550,vasy leno c’est un attardé,1,0,0,0,2
18474,@user il est interdit dinterdire citation gauchiste !,1,0,0,2,2
7971,@user looking like mongy statue gets older #cr7,1,0,0,2,1
15712,@user vous vouliez dire que la rhétorique islamo-gauchiste est souvent calquée sur la rhétorique antisémit… @url,1,0,0,1,1
4703,@user waiting trophy hunting twat come along shoot him.,1,0,0,9,1
9864,@user @user Guy sounds like a twat \ud83d\ude02,1,0,0,2,1
2474,@user @user انت خليك تشرب بول البعير احسنلك,0,1,0,0,2
15784,@user le débile autiste dégénéré basque sait pourquoi perd mais il s'en bat les couilles,0,1,0,4,1
4807,@user @user @user push back leftist professors like #billayers writing @url,1,0,0,1,1
18317,@user salutations est-ce qu'un vegan est contre l'avortement ? logiquement oui vu qu'on tue un être vivant non ?,1,0,0,0,1
4478,@user bro beeps boops cunt go oil ya robot fag,1,0,0,4,1
3140,الوطني يصرح بشأن إغلاق قناة سودانية 24 على خلفية حلقة التحرش .. شاهد ماذا قال ؟ @url @url,1,0,0,0,1
18197,@user @user vous confondez islam radical et terrorisme islamique. le premier mène parfois au second mais son… @url,1,0,0,0,1
574,@user @user خنزير اجلكم الله هذا المعتوه,1,0,0,0,1
15764,@user et est plus de 10 millions!!! charlot de gauchiste,1,0,0,0,1
12351,just say faggot then,1,0,0,3,2
221,@user @user بس مو كلّهم،وحتى احنا عندنا ناس لسانهم وسخ محنا ملائكه,1,0,0,2,2
9235,ngl i have never laughed so hard at a random ching chong video depicting unfortunate events. wait for it.… @URL,1,0,0,7,1
15066,@user @user @user Ça s'appelle l'islamisation !,1,0,0,2,1
17964,@user @user professionalisme !!!! ce pauvre gauchiste de merde au lieu d...informer il passe son temps desinformer.,0,1,0,0,1
14799,@user @user blabla de politicard attardé cherchant le buzz,1,0,0,1,3
15906,@user ils se sont cru dans un film juste des gars un peut attardé un peut trop influencé par les films/virtuel… @url,1,0,0,0,1
17989,@user @user @user @user la déchristianisation ou l'abrutissement et la propagande gauchiste?… @url,0,1,0,1,1
2071,@user @user @user @user سير شرب بول البعير مع الضب وسد عليا فمك,1,0,0,2,1
18444,@user @user @user mdr allez nique ta mère ton cerveau est détraqué sale attardé et change ta… @url,0,1,0,2,1
370,خنازير وفطسوا @url,1,0,0,0,1
2812,@user ياك ما ولاو دايرين التحرش مقياس للجمال,1,0,0,1,1
18308,@user l'acteur blanc ça doit être un gauchiste lavé du cerveau. il faut etre con d'etre acteur avec de t… @url,0,1,0,2,1
3328,@user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قبل الانسان؟ فانت كافر زند… @user,1,0,0,7,1
2628,هذا وضع الحريم اذ زوجة بتزوج عليه @url,1,0,0,0,1
15532,@user mlq mongol,0,1,0,4,1
13909,this the hardest i\u2019ve worked on a project \n\ni\u2019ve become retarded picky wit beat selection\n\ny\u2019all gotta really liste\u2026 @URL,1,0,0,2,1
2066,ماذا تتوقع من خنازير حرفت كلام الله ورسوله ،أن تحن عليك وتحبك ؟؟؟ كذبوا وكذبت,1,0,0,0,1
16634,@user sauf que si tu les tues bah y’en qui spawn triple attardé et tu les tues avec le feu spectral sous la fenetre putain,1,0,0,2,1
2249,بيت وسخ بصحيح.   @url,1,0,0,6,1
4782,@user @user @user @user @user @user gang bangers/leftist domestic terror @url,1,0,0,4,1
16600,@user mois bi dara bakhoussi il nous attarde tout simplement niou meuna teudj année bi,0,1,0,0,1
1214,قناة الجزيرة/ #شاهد | هندوس اتهموا مسلما بالسرقة فضربوه حتى الموت  - عبر نبض,0,1,0,2,2
11722,@user @user I think there\u2019s been more than 1 leftist terrorist.\nYou\u2019re a data scientists do better.,1,0,0,1,2
16334,.@user va débloquer 80 millions de dollars pour les #réfugiés et les communautés d’accueil au #niger,1,0,0,0,1
517,شوفت يا فالفيردي يا خنزير جووووووووووووا مالكوم,1,0,0,4,1
2087,دقو جرس  دخلو معاهم #خنزير ريحتو معفنه و بخرا ليهم في الزنزانه كلها مترين في مترين,0,1,0,2,1
15399,passa teu twitter . ? — mongol @url,0,1,0,2,1
1759,@user @user @user وش دخلك بالحب انطم وخليك معي بس تمام لاجي اشربك بول البعير,0,1,0,0,2
15579,@user toujours tu vas trop loin ,1,0,0,0,1
34,@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,1,0,0,4,1
2685,@user هول صوفية مش هندوس في منهم بلبنان والعراق وغيرها من الاماكن، مرة الجديد عملت معهن مقابلة، على كل حال تباً لماهر وأضرابه,1,0,0,0,1
9277,You sir are a fucking cunt! @URL,0,1,0,7,1
12107,@user @user Getting illegal aliens to illegally 'vote' by the Dem Voter Fraud Machine does NOT count.,1,0,0,3,2
2306,يتحكم فيها خنازير,0,1,0,0,1
16627,@user @user @user 2... typiquement 1 islamo-gauchiste. tu prends totalement fait &amp; cause pour tous... @url,1,0,0,1,1
12386,Boroqul a general and friend of #Chinggiskhan ambushed by Tumed 1216. Learn more in my video on the #mongol conqu\u2026 @URL,1,0,0,2,2
2285,مورينهو مختل عقلي غير إنو مريض نفسي، لما يفوز بحكي الأداء مخزي ولما يخسر الأداء جميل أو الحكم خنزير!!!,0,1,0,2,1
10381,\u266a Gimme a break gimme a break. Break me off a piece of that fat retard \u266a @URL,1,0,0,2,1
16565,@user @user et bien le mieux c'est de faire ta propre statistique sur l'évolution de la violence et des… @url,0,1,0,0,1
666,@user لا نريد خنازير,1,0,0,2,1
1313,#مقاطعة_نستله وين التعاوسه عن هالوسم ولا ما تحرك مشاعركم و تثار اعصابكم الا بنت متبرجه بعبايه بيضاء,1,0,0,2,3
15712,@user vous vouliez dire que la rhétorique islamo-gauchiste est souvent calquée sur la rhétorique antisémit… @url,1,0,0,1,1
1512,والله اذا انا متبرجه محد قالك جوفني ترا من الواجب انك تغض بصرك,1,0,0,0,1
2441,شعرة من جلد خنزير,1,0,0,2,1
442,@user @user لعنة الله على من رباك ايه الخبيث خنازير مجمعين في قناة خنزيره رد يبيدكم,0,1,0,0,1
10160,Most retarded &gt; @URL,1,0,0,6,3
2122,وانتي متبرجة مثيرة للشفقة,0,1,0,0,3
15124,pck c un gros mongol veu juste dire qu’il connait wire @url,0,1,0,2,1
2542,@user @user @user هل تعلم أن فى النجف يبيعون غائط وبول المعممين الرافضة ويتقربون بها إلى الش… @url,0,1,0,2,1
16231,comment tu peux passer d’une personne à une autre comme ça d’un seul coup? c’est pas possible faut être mongol mdr,0,1,0,6,1
16495,@user @user regarde moi ce mongol chui ko,1,0,0,3,1
290,@user @user @user ياشارب بول البعير .. من وين انت عندك دين  حتى تتكلم فيه أنتم دينكم عبا… @url,1,0,0,2,1
8034,drug prohibition made chicago shithole made usa shithole country. forcing law @url,1,0,0,3,1
5913,@user @user @user @user @user @user dude white leftists j @url,1,0,0,4,1
1229,@user @user خلينا البياض لشواربكم واخذنا سوادها لركبنا ..يوم مثل الحريم مرطططط,1,0,0,0,1
6556,@user talk fun looked real note tho,1,0,0,7,1
13899,Feel a twat,1,0,0,4,1
18112,@user en fait en tant qu'agent de securite la loi nous interdit de palper sur une personne du meme sexe (... @url,0,1,0,0,1
18351,@user @user donc en fait pour proteger les especes animales vous les condamnez l'extinction... @url,1,0,0,1,1
14906,@user @user chama de mongol n satanas,0,1,0,2,1
4721,fucking retard. nnorban lukashenko putin proved nationalism without bullets.nnyou're insane. @url,1,0,0,7,1
15236,@user nous sommes ici en plein delire de la raclure gauchiste super tare et totalement tordu qui ne comprend rien rien!,1,0,0,0,1
349,@user @user خنازير البنا,0,1,0,0,1
12181,@user You're a faggot.,1,0,0,4,2
3066,@user والله إنكم خنازير مجرمين تتهمون الناس ظلما وعدوانا بالإرهاب إرضاء لإسرائيل و الغرب .. ولعبتكم مكشوفة و… @url,0,1,0,2,3
18430,@user @user @user @user moi le gauchiste cretin qui justifie la violence fiscale par... @url,1,0,0,0,3
1669,لو تدخل كان سمع دعاء السوريين و الفلسطينيين و العراقيين و الافارقه المسلمين الي يدعون ل… @url,1,0,0,1,1
15728,@user @user c’est un attardé il fait câblé,1,0,0,1,1
14547,Haha\ud83e\udd23\ud83d\ude02\ud83d\ude05yes everyone delete your post and apologize because jason said so. \ud83d\udd95 that dem leftist pos. Oh and he was fol\u2026 @URL,1,0,0,1,1
1167,@user @user محد مصدقك إلا كل خسيس وعميل وحاقد ليس على السعودية فحسب بل على العرب والمسلمين وكل من تربى مع خنازير ومجوس ويهود,0,1,0,0,1
6101,@user @user mc raghead million times better,1,0,0,8,1
