tweet,shock_annotator_sentiment,anger_annotator_sentiment,confusion_annotator_sentiment,sadness_annotator_sentiment,indifference_annotator_sentiment,disgust_annotator_sentiment,fear_annotator_sentiment,implicit,explicit,Abusive,Not Abusive,Very Abusive,Very Strongly Abusive,target_groups,tweet_length,special_characters
@user queue fucking retarded makes everyone feel like even chance make fcfs fucksake,1,0,0,0,0,1,0,0,1,1,0,1,0,1,13,False
@user mexican spic dora,1,0,0,0,0,1,0,1,0,1,0,1,0,1,4,False
shorty called faggot cause respond lmfaoooo,0,0,1,0,1,0,0,1,0,1,0,0,0,1,6,False
@user ok maybe send finished,0,1,0,1,0,0,0,1,0,0,1,0,0,0,5,False
@user cunt embarrassment club,1,0,0,1,1,1,0,1,0,1,0,1,0,1,4,False
wow watching documentary evidence sexual assault cases.. wonder rapists believe whatev @url,0,0,1,0,1,0,0,1,0,1,0,0,0,0,12,False
@user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,1,0,0,0,0,1,0,1,0,0,1,1,0,1,17,False
dude i\'m tired retarded,0,1,0,1,0,0,0,1,0,1,0,0,0,1,5,False
mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,0,0,0,0,1,1,0,0,1,0,0,1,0,1,12,False
also believes slaves immigrants. he\'s fool disgrace injustices done *his* gop white peop @url,0,0,1,0,1,0,0,1,0,1,0,0,0,1,15,False
pretty sure employee philip green called \'balding racist sexist twat\' would perceived dismi @url,0,1,0,1,0,0,0,1,0,1,0,0,0,0,14,False
3 people shot armed police officers dumb twat @url,0,1,0,0,0,1,0,0,1,1,0,0,0,1,9,False
@user would honduras guatemala quality shithole countries?...,0,0,0,1,0,1,0,1,0,1,0,0,0,1,7,False
@user @user btw. allowed say shithole countries? also allowed say wes @url,0,1,0,1,0,0,0,1,0,0,1,0,0,1,12,False
yepnnplus spic &amp; span waxed &amp; buffed: fitting suspects dishevelled profile; new posters (not faded th @url,0,0,1,0,0,1,0,1,0,1,0,0,0,2,17,False
@user @user trump voice:nmy friend chinaman longer us #chanded,0,0,1,0,1,0,0,1,0,1,0,0,0,2,10,False
bitch retarded  hate @url,0,1,0,1,0,0,0,1,0,1,0,0,0,2,4,False
@user migrants.7z,1,0,0,0,1,0,0,1,0,1,1,0,0,1,3,False
hetero guy: faggot bet wanna suck dick nnme: @url,0,0,0,0,1,1,0,1,0,1,1,0,0,1,9,False
@user fallait pad arriver en retard,0,0,0,0,1,1,0,1,0,1,1,1,0,1,6,False
using word retard form great way make lose huge amount respect you.,1,0,0,0,0,1,0,1,0,1,1,1,1,1,12,False
everyone knows feminazi\'s r lying gd teeth @user @user @user @url,0,0,0,0,1,1,0,1,0,1,0,0,0,1,12,False
@user care moral voters; want liberals illegal aliens ms13...,0,0,0,0,1,1,0,1,0,1,0,0,0,0,9,False
@user still bitter cunt. much interest arsenal? player player fod us get sold.,0,1,0,1,0,0,0,1,0,1,0,1,0,1,13,False
1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.,1,0,0,0,1,0,0,1,0,0,1,0,0,0,17,False
@user @user losely quote trump/trumpers. dont need immigrants - vietnam country. @url,0,1,0,1,0,0,0,1,0,1,0,0,0,1,12,False
@user @user second grade called dirty jew another second grade girl. made sense @url,1,0,0,0,1,0,0,1,0,1,0,0,0,1,14,False
@user shut raghead.....,1,0,0,0,0,1,0,1,0,1,0,0,0,1,3,False
@user what\'s spic_,1,0,0,0,0,1,0,1,0,1,0,0,0,1,4,False
think women might retarded bro. like possesses y\'all say shit y\'all say? ,0,1,0,1,1,1,1,1,0,1,0,0,0,1,14,False
children = 52% refugees,0,1,0,1,0,0,0,1,0,1,1,1,1,2,3,False
@user @user msnbc identified terrorist organization! leftist media well!,1,0,1,1,1,1,0,1,0,1,1,0,1,0,9,False
doesnt right? negro default,1,0,1,1,1,1,0,1,0,1,1,1,1,2,4,False
@user wtf gym king phone little twat,0,1,0,0,0,1,0,0,1,1,0,0,0,2,7,False
absolute mongoloid gtfo lmaooo @url,1,0,1,1,1,1,0,1,0,1,0,0,0,1,5,False
retarded. okay perfect.,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3,False
@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated ,1,1,0,0,0,0,0,1,0,0,0,1,0,1,12,False
fucking hate sonic drops coins valuable little cunt slow,0,1,0,1,0,0,0,0,1,1,0,0,0,1,9,False
@user mean platonic dyke way @url,1,1,0,1,1,1,0,1,0,0,1,0,0,1,6,False
@user haiti listed second worse place travel shithole talking @url,0,0,0,1,1,0,0,1,0,0,1,0,0,1,10,False
dyke nation? @url,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3,False
@user put mic retard,0,1,0,1,0,0,0,1,0,1,0,0,0,1,4,False
okay forgive u- u spic ;) @url,0,1,0,1,0,0,0,1,0,1,0,0,0,1,6,False
many mdsz\'s classical golden scenes cut stupid retarded shitty idea going @url,1,0,1,1,1,1,0,1,0,1,1,0,0,1,13,False
parar anorexic mongol.,0,0,0,1,0,1,0,1,0,0,1,0,0,1,3,False
@user @user parody one thing twat funny.,0,1,0,1,0,0,0,1,0,1,0,0,0,1,7,False
@user swear .. white people fucking retarded ...,1,0,1,0,1,1,1,1,0,1,0,1,0,1,6,False
never called kike dirty jew @user began campaign. hateful rhetoric ha @url,0,1,0,0,1,0,0,1,0,0,1,1,0,0,12,False
@user called faggot stole wall burger king bathroom,1,0,1,1,1,0,1,1,0,1,0,0,0,2,8,False
@user @user go back shithole country grab pussy,1,0,0,0,0,1,0,1,0,1,0,0,0,1,8,False
@user look retarded,1,0,0,0,0,1,0,1,0,1,0,1,0,1,3,False
wish could around see one shithole-countries rule world one day. (better yet trump still around.),0,0,0,1,1,0,0,1,0,0,0,1,0,1,16,False
@user @user that\'s retarded thing ever seen twitter.,1,0,0,0,0,1,0,1,0,1,0,0,0,1,9,False
fucking fat anorexic gay homophobic mexican nigger retard pig @user,1,0,1,1,0,1,1,1,0,1,0,0,0,2,10,False
maybe i\'m retarded,0,1,0,0,1,0,0,1,0,1,0,1,1,1,4,False
migraction 59 en faveur des migrants de calais @url via @user,0,0,0,0,1,0,1,1,0,0,1,0,1,1,11,False
twat @url,0,0,1,0,1,0,0,1,0,1,0,0,0,1,2,False
nigga didnt realize fox news negro thought talking shit white women would ok @url,1,0,0,0,0,1,0,1,0,1,0,0,0,2,14,False
@user reread shit illiterate twat,0,0,1,0,1,0,0,1,0,1,0,0,0,1,5,False
@user ching ching chong :),0,1,1,1,1,1,0,1,0,1,0,0,0,1,4,False
@user @user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h @url,1,0,1,1,1,1,0,1,0,1,0,0,0,1,14,False
helped bring alc ae pi party faggot trying kick out. i\'ve less min. fa @url,1,1,1,0,1,0,1,1,0,1,0,0,0,0,16,False
games c9 surrender look svenskaren go full retard game 2.,0,1,1,1,1,1,0,1,0,1,0,0,1,1,10,False
stop pleasin\' strangersninstead fam\'ly twat!,0,1,0,0,0,1,0,1,0,1,0,0,0,1,6,False
@user okay giving benefits illegal aliens? ary okay working illegally? ar @url,0,1,0,1,0,0,0,1,0,0,0,1,0,1,12,False
mongoloid literally said wrong place 15 times. @url,0,1,0,1,0,0,0,1,0,1,0,0,0,2,8,False
everyone calls mongy jess hate,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,False
@user fuck mongy bin dipper,1,1,1,0,1,0,1,1,0,1,0,0,0,1,5,False
@user i\'d assume nonce like say retard. harsh,0,1,1,1,1,1,0,1,0,1,1,1,0,1,9,False
everything better. cunt alive..,0,1,0,1,0,0,0,1,0,1,0,0,0,1,4,False
@user @user could given shithole countries money,0,0,0,1,0,1,0,1,0,1,0,0,0,1,7,False
cunt wants grab generation scruff neck getting fucking stupid @url,1,1,1,0,1,0,1,1,0,1,0,0,0,1,10,False
need @user tell i\'m twat right here!,0,0,1,0,1,0,0,1,0,1,0,0,0,2,8,False
@user twat,0,0,0,0,1,1,0,1,0,1,0,0,0,1,2,False
@user unaccounted illegal aliens happy. tufail one,0,1,0,1,0,0,0,1,0,1,0,0,0,1,7,False
opposed using word retard retarded would think ok use word libtard?!,1,1,1,0,1,0,1,1,0,1,0,0,0,1,11,False
living real white got soul still spic !,1,1,0,0,0,0,0,0,1,1,0,0,0,1,7,False
@user @user economic asylum thing. neither country shithole asylum. nnhow @url,0,0,1,0,1,0,0,1,0,1,1,1,0,1,11,False
retarded toxic femininity  @url,0,0,1,0,1,0,0,1,0,1,0,0,0,1,4,False
@user rather clear thinknnhe\'d rather chinaman would different reason,1,1,0,1,1,1,0,1,0,1,0,1,1,1,10,False
baby knows potus #mongoloid,0,1,0,1,0,0,0,1,0,0,0,1,0,1,4,False
man leave one week first twat nut,0,0,1,0,1,0,0,1,0,1,1,1,0,1,7,False
@user america shithole country los angeles good.,0,1,0,0,0,1,0,1,0,0,0,1,0,1,7,False
@user sigh.. said spic..,0,0,1,0,1,0,0,1,0,1,0,0,0,1,4,False
@user nigger,0,1,0,0,0,1,0,1,0,1,0,0,0,1,2,False
scomo biggest faggot madden historyhe bashes everyone anything madden @url,0,1,1,0,0,0,0,1,0,1,0,0,0,1,10,False
 gimme break gimme break. break piece fat retard  @url,0,0,0,0,1,1,0,1,0,1,0,0,0,0,9,False
@user think retard tbh success twitters made automatically post discord many use @url,1,1,0,0,0,0,0,1,0,1,0,0,0,1,13,False
@user everything enraging. smug little twat.,0,1,0,0,0,1,0,1,0,1,1,0,1,1,6,False
smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly @url,0,1,0,0,0,1,0,0,1,1,0,0,0,2,17,False
trump hate jews lmfao ya niggas full retard. know work @user @user right? @url,0,0,0,1,1,0,0,1,0,1,0,0,0,1,14,False
buy @user @user @user @user @user @user regularly alternatives @url,0,0,0,0,1,1,0,1,0,0,1,0,0,1,10,False
@user @user honduras guatemala??? would considered shithole countries well?,0,0,0,1,1,0,0,1,0,1,0,0,0,1,9,False
@user fuck faggot,0,0,0,0,1,1,0,0,1,0,1,0,0,2,3,False
look leftist terrorist like guy shot @user softball game compar @url,0,0,0,0,1,1,0,1,0,0,1,0,0,0,11,False
dawg rondo fucking retarded,0,0,0,1,1,0,0,1,0,1,0,0,0,1,4,False
2018 yall dont know calling asians ching chong racist,0,0,0,0,1,1,0,1,0,1,0,0,0,1,9,False
@user early gab awesome maga sad see whole thing wither die one giant retard moshpit cringe.,1,1,0,1,1,1,0,1,0,1,0,0,0,1,16,False
get they\'re dead communist literally retard mode,0,0,0,0,1,1,0,1,0,1,0,0,0,1,8,False
@user hmm okay case take care twat,1,1,1,0,1,1,0,1,0,1,0,0,0,1,7,False
@user @user @user retard twitter account looks like.,0,0,0,1,0,1,0,1,0,1,0,0,0,1,8,False
@user behave yurself today match day stop twat,0,0,0,0,1,1,0,1,0,1,0,0,1,1,8,False
sounds fucking retarded. idiots seriously get kick shit? jesus...,1,0,0,0,1,0,0,1,0,1,0,0,0,1,9,False
horrible cunt @url,0,0,0,1,1,0,0,1,0,0,0,1,0,1,3,False
@user welcome twitter club known as.. reported far left retarded cry baby..! @url,0,0,0,0,1,1,0,1,0,1,0,1,0,1,13,False
#shitholecountry leave?nnoh yeah....because shithole country overran @url,1,0,0,1,1,1,1,1,0,0,0,1,0,1,9,False
@user @user @user retarded.,0,1,0,0,1,0,0,0,1,1,0,0,0,1,4,False
@user @user mongy american probably,1,0,0,1,1,1,0,1,0,1,0,0,0,2,5,False
cunt progress bint tpa talking one rule oneone another. near fucking choked coffee.,1,1,1,0,1,1,0,1,0,1,0,0,0,1,13,False
@user @user dont take allegations seriously thats feminazi brainwashing. see is. context everything.,1,0,1,1,0,1,1,1,0,1,1,1,1,1,13,False
@user literally mudslinging retard,0,0,0,1,0,1,0,0,1,0,0,1,0,1,4,False
true ur ching chong _ 1/8 xd @url,1,0,1,1,0,1,1,1,0,1,0,0,0,1,9,False
damn right mfs retarded @url,0,0,0,0,1,0,1,1,0,1,0,0,0,0,5,False
think pittsburgh synagogue shooting hate related ... retarded.,0,0,0,1,1,0,0,1,0,0,1,0,0,1,7,False
(i reclaim retard dont get mad),1,0,0,1,1,1,1,1,0,1,0,0,0,1,6,False
@user @user cant tell bonnie actually retarded shes pretending.,0,1,0,1,1,1,1,1,0,1,1,1,0,1,9,False
@user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining rubb @url,0,0,0,0,1,0,1,1,0,1,0,0,0,1,13,False
@user @user retard explained isnt drama,0,0,1,0,0,1,0,1,0,1,0,0,0,1,6,False
1/1024th middle eastern leftist they\'d calling largest terrorist attempt since 9/11.nnbut @url,1,1,1,1,0,0,1,1,0,0,0,1,0,1,16,False
@user 6/28/2018. four illegal aliens accused kidnapping raping two teenage sisters 13 1 @url,1,1,1,1,0,0,1,1,0,0,1,0,0,1,16,False
cum eye ball faggot dickhead fucking cunt slut cakes,0,0,0,0,1,0,1,1,0,1,0,0,0,1,9,False
matter hard try always retarded math,0,1,0,1,1,1,1,1,0,1,1,1,1,1,6,False
@user ching chong style,0,1,0,1,1,1,1,1,0,1,0,0,0,1,4,False
full grown man fancy dress halloween? wank stain. certified twat.,1,1,1,1,0,0,1,1,0,1,1,0,1,1,10,False
@user look relatives asia mongoloid. many fair haired blue @url,1,1,1,1,0,0,1,0,1,1,0,0,0,1,10,False
kyo retard nlike fuck,0,1,1,1,0,1,1,1,0,1,0,0,0,1,4,False
@user @user @user #florida shithole country. yeah part usn3 killers @url,0,0,0,0,1,1,0,1,0,1,0,0,0,2,11,False
come serve faggots. messages open. looking new faggot fill space wallet. #findom @url,0,1,0,1,1,1,1,1,0,1,0,0,0,3,13,False
sheck wes nigger,1,1,0,1,1,1,0,1,0,0,0,1,0,2,3,False
@user thanks spic,1,1,1,1,0,0,1,0,1,1,0,1,0,1,3,False
swear boyfriend partially retarded times,0,1,0,1,1,1,1,0,1,1,1,1,1,1,5,False
@user i\'m making buttered noodles u retard,0,1,1,1,0,1,1,1,0,1,0,0,0,1,8,False
proper cunt blokes likely lost friend colleague fuckers already diving absolute @url,0,1,1,0,1,1,1,1,0,1,0,0,0,0,12,False
@user @user would break heart. america advanced ins many ways conversely retarded w @url,1,1,1,1,1,0,0,1,0,1,0,0,0,1,14,False
meanies call mongol sayni child genghis khan child orangutan,0,0,1,0,1,0,0,1,0,1,0,0,0,1,9,False
faggot looks like walking hiv @url,0,1,0,0,1,0,0,1,0,1,1,0,1,2,6,False
getting illegal aliens stay home fear good first step. next hope move onto self-deporting @url,0,1,0,0,1,0,0,1,0,1,0,0,0,1,16,False
cunt would walking away @url,0,1,0,1,1,1,1,1,0,1,0,0,0,1,5,False
@user fuck u spic,0,1,0,0,0,1,0,1,0,1,0,0,0,2,4,False
trannys retarded _ asshole  @url,0,1,0,1,0,0,0,1,0,1,0,0,0,1,5,False
@user @user ima real...you try talk 20000 screaming mentally retarded adults cant even form @url,0,1,1,0,1,1,1,0,1,1,0,0,0,1,16,False
keep mind im negro open mind got screen door best bar whole fuckin album lol,0,1,0,1,0,0,0,1,0,1,0,0,0,1,15,False
wayne collab decaying negro,0,1,0,1,0,0,0,0,1,1,0,1,0,2,4,False
@user lol ok sure. cunt ,1,1,0,1,1,1,0,0,1,1,0,0,0,1,5,False
enough enough! @user cancel scheduled testimony lying feminazi ford needs @url,0,1,1,1,0,1,1,1,0,0,0,1,1,1,11,False
whole okay white thing created expose hate white people inclu @url,1,0,1,1,1,1,0,1,0,1,0,0,0,1,11,False
ima let negro bc really got fucked &amp; know better !!,1,1,0,0,0,0,0,1,0,1,0,0,0,1,10,False
@user crude leftist podcast uses word retard lot fan base made angr @url,0,1,0,1,0,0,0,1,0,1,0,0,0,0,13,False
retard. @url,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2,False
lagged yo chill faggot fucking hell lol. killing ,1,0,1,1,1,1,0,1,0,1,0,0,0,2,8,False
@user yes retarded leader paper tiger.,0,1,0,1,1,1,1,0,1,0,0,1,0,1,6,False
selling dvds hahahaha shop gonna hate woman counter mongy cunt anyway deser @url,0,1,0,1,1,1,1,1,0,1,1,1,1,2,13,False
i\'m done dealing little bitches. grow fucking pair cunt.,0,1,0,1,1,1,1,0,1,0,1,0,0,1,10,False
well maybe i\'m faggot america!ni\'m part redneck agendannow everybody propagandanand sing along age paranoia,0,0,1,0,1,0,0,1,0,1,0,1,0,2,17,False
u see colonialism right?? i\'d blast writing vmin getting lost mongol shobhajatra ppl w @url,0,1,0,0,0,1,0,1,0,0,1,0,0,1,16,False
got head like dyke got head like @url,0,0,0,1,0,1,0,1,0,1,0,0,0,2,8,False
literally feel retarded anytime use left hand...i looking kinda stupid ,0,1,0,1,0,0,0,1,0,1,0,0,0,1,11,False
@user hey spic kinkdom bigger get facts sending ur little puppets talk smacknnur server @url,1,0,0,0,0,1,0,1,0,0,0,1,0,1,15,False
@user @user @user hypocrisy retard anyways how\'s johghyun doing?,0,1,0,0,1,0,0,1,0,1,0,0,0,1,10,False
cmon machado fucking mongoloid,0,1,1,1,1,1,0,1,0,1,0,0,0,1,4,False
@user chinaman issue,0,1,0,0,1,0,0,1,0,1,0,0,0,1,3,False
@user rastice bitch add fagot sucks cock dam day night fucking faggot,0,1,0,1,0,0,0,0,1,1,0,0,0,1,12,False
15 mins netflix &amp; chill called faggot,1,1,0,1,1,1,0,1,0,1,0,0,0,1,7,False
@user @user happens anel retarded.,0,1,0,0,0,1,0,1,0,1,0,0,0,1,5,False
@user @user waste graceful white filthy refugees.,1,0,0,0,0,1,0,1,0,1,0,0,0,1,7,False
@user lmfao shut cunt unfollow,1,1,1,0,1,1,0,1,0,1,0,0,0,1,5,False
@user ching chong,0,1,0,1,0,0,0,1,0,1,0,0,0,2,3,False
@user brazil go vote use finger print id 3rd world shithole... wh @url,1,0,1,0,1,1,1,1,0,1,0,0,0,2,13,False
photographer - humana - 4 #portrait #rio_negro #argentina #strkng #photography #contemporary #bestof @url,0,1,0,0,1,0,0,1,0,0,1,0,0,1,11,False
ring chong ching ching chong chong ching,1,1,1,0,1,1,0,1,0,1,0,0,0,2,7,False
golden visas: wealthy immigrants abuse quebec\'s immigration pro... @url via @user,1,1,1,0,1,1,0,1,0,0,1,0,0,2,12,False
@user @user eu ching chongs arent real ching chong,1,1,0,1,1,1,0,1,0,1,0,0,0,1,9,False
@user @user @user oooft ya cunt  cant belive still photo haha x,1,1,0,1,1,1,0,1,0,1,0,0,0,1,12,False
faggot people? self hatred much king? @url,0,1,0,1,0,0,0,1,0,1,0,0,0,1,7,False
@user skele boi far superior toothy mongoloid,1,1,1,0,1,1,0,1,0,1,0,0,0,1,7,False
@user feminazi detected,0,1,1,1,1,1,0,1,0,1,0,0,0,1,3,False
@user many dead illegal aliens vote blue november dems arent worried,0,1,1,1,1,1,0,1,0,1,0,0,0,2,11,False
okay white,1,1,1,0,1,1,0,1,0,1,0,0,0,1,2,False
@user u dad fucking retard,0,0,0,0,1,1,0,0,1,1,0,0,0,1,5,False
@user goat beach way retard,0,1,0,1,0,0,0,0,1,0,1,0,0,1,5,False
@user @user @user florida shithole armpit united states. gulf @url,0,1,0,0,0,1,0,1,0,1,0,0,0,1,10,False
@user whatever retard,0,1,0,1,1,1,1,1,0,1,0,0,0,1,3,False
rrrrrrly dont care im cunt,0,1,0,1,0,0,0,1,0,1,0,0,0,1,5,False
&gt;if people truly matter even one retarded hold much importancennthey @url,0,0,0,0,1,1,0,1,0,1,0,0,1,1,12,False
feel retarded cant,0,0,0,1,1,0,0,1,0,1,0,0,0,1,3,False
@user @user yeap....spic wet.,0,1,0,0,0,1,0,1,0,1,0,1,0,2,5,False
@user @user outrageous!!!!!!!! outrageous!!! youre going illegal aliens (because thats wh @url,0,1,0,0,0,1,0,1,0,1,0,0,0,2,12,False
@user text back faggot,0,1,0,0,0,1,0,1,0,1,0,0,0,1,4,False
d-rats feminazi abortion devils came trolling carloads cash. despicable! @url,0,1,0,1,0,0,0,1,0,0,0,1,0,0,11,False
baby daddy retarded bitch,0,0,0,1,0,1,0,1,0,1,0,0,0,1,4,False
@user fair nigger!,0,0,0,1,0,1,0,1,0,1,1,0,1,2,3,False
@user really want turn country shithole. going happen.,0,0,0,0,1,1,0,1,0,1,0,0,0,0,8,False
fucking hate lanky ginger cunt joseph brady,1,0,0,0,0,1,0,1,0,0,0,1,0,1,7,False
#dodamage slogan unbelievably stupid. every offense\'s goal damage. gives mongoloid boston f @url,1,0,0,0,1,0,0,1,0,1,0,1,1,1,14,False
i\'m gay i\'m faggot shut fuck up.,0,0,1,0,0,1,0,1,0,1,0,0,0,1,9,False
@user retard tranny spic show good,0,1,1,0,1,1,1,1,0,1,0,0,0,0,6,False
i\'m racist! touched tan dick once. sure race though. kinda spic.,1,0,0,1,1,1,1,1,0,1,1,0,1,1,12,False
@user @user @user woman. tool. make feel unsafe. how\'s retard.,1,1,0,1,1,1,0,1,0,1,0,0,0,2,11,False
@user called shithole countries trump .,0,0,0,0,1,1,0,1,0,1,0,0,0,0,5,False
@user @user hellbent ching chong communists want oppress anyone isn\' @url,0,1,0,0,0,1,0,1,0,1,0,1,0,1,11,False
@user dirtiest chinaman criminal lee hsien loong inciting racial hatred malaysian chinamen crimi @url,0,0,1,0,0,1,0,0,1,1,0,0,0,1,14,False
@user barns heard discussing \'lecherous twat\' mistook \'leftist plot\'.nneasily done ....,0,0,0,0,1,1,0,1,0,1,1,0,0,1,11,False
mr drabu snobby twat are! @url,0,1,0,0,1,0,0,0,1,1,0,0,0,0,6,False
california candidate governor promises free health care illegal immigrants latest push financial @url,0,1,0,0,0,1,0,1,0,1,0,0,0,1,13,False
@user @user shithole countries ring bell? good genes? birtherism fine people sides,0,0,0,0,1,1,0,1,0,1,0,0,0,1,12,False
@user @user fast forward section unfunny twat,0,0,0,1,1,0,0,0,1,1,0,1,0,0,7,False
grandma called faggot today that\'s new low,1,1,1,1,1,0,0,1,0,1,1,1,0,1,8,False
imagine living shithole country since birth yet stick peak american politics,0,0,0,1,0,1,0,1,0,1,0,0,0,1,11,False
shut nigger @url,1,1,0,1,1,0,1,1,0,1,0,0,0,1,3,False
think communists despise white people capitalism went full retard less okay @url,0,1,0,0,0,1,0,1,0,1,0,0,0,0,12,False
volkan looking like retarded cousin brian ortega #ufcmoncton,1,1,0,1,1,0,1,1,0,1,0,0,0,1,8,False
bitch shut yo retarded ass looking like great value nipsey hussle. @url,0,1,1,0,0,0,0,1,0,0,1,0,0,1,12,False
cunt everyone smell it.,1,1,1,1,0,1,0,1,0,1,0,0,0,1,4,False
literally waited red light five minutes i\'m fucking retard,1,1,1,1,1,0,0,1,0,1,0,0,0,2,10,False
words it\'ll become shithole state instead shithole country? @url,1,1,0,0,0,0,0,1,0,0,0,1,0,1,10,False
@user @user en retard look ton insta,1,1,1,1,1,0,0,1,0,1,0,0,0,1,7,False
@user @user egn admin? shut fucken mouth cunt give fuck ftp put @url,1,0,0,0,1,0,0,0,1,1,0,0,0,1,13,False
pinche mames wey!!!! ugh fucking orange cunt stupid af!! @user yea @url,0,1,1,1,1,1,0,1,0,1,0,0,0,1,12,False
@user sure except directly quoting trump\'s shithole countries.,1,1,1,1,1,0,0,1,0,1,1,0,0,0,9,False
aw nut cunt fkn gee lift home,0,1,0,0,0,1,0,1,0,1,0,0,0,1,7,False
@user violence?you got mad year ago saying shithole countries. make minds. @url,1,1,1,1,0,1,0,1,0,1,0,0,0,2,13,False
trot cinema watch burn stage fucker chanting 2!3! might throw twat @url,1,1,1,1,0,1,0,1,0,1,0,0,0,0,13,False
@user visited taiwan once!i hope go back country someday,1,1,0,0,0,0,0,1,0,0,1,0,0,0,10,False
let rot shithole chose. never ever ever let near country @url,1,1,1,1,1,0,0,1,0,1,1,1,1,1,11,False
i\'m looking relationship means i\'m trying hoe around ?  retard juice strong,1,1,1,1,1,0,0,1,0,1,0,0,0,1,13,False
course safety net necesary that\'s basic principle civikized country.nno shithole country safet @url,1,0,0,1,0,0,0,1,0,0,1,0,1,1,15,False
@user needs remind @user one million polish immigrants flooded britain exploited wor @url,1,1,0,0,0,0,0,1,0,1,0,0,0,1,13,False
@user migrants bring disease death properly vetted,1,0,0,1,0,0,0,1,0,1,0,1,1,1,7,False
@user @user shut fuck retard,1,1,0,0,1,1,1,1,0,1,0,0,0,1,5,False
carrying retard boy @user @url,1,0,1,1,1,0,1,1,0,1,0,0,0,2,5,False
wow. twat @url,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,False
@user @user @user babe ruth dirty jew,1,0,1,1,1,0,1,0,1,0,0,1,0,2,7,False
@user wow. remember tried spinning shithole countries people like nah okay. human garbage.,1,0,1,1,1,1,0,1,0,0,1,0,0,1,13,False
since cishets feel need butt head everything lgbt+ related: gay people say faggot.ntransgende @url,1,0,0,1,0,0,0,1,0,1,0,0,0,1,15,False
people get offended insults jokes words like retarded autistic faggot etc. @url,1,0,1,1,1,0,1,1,0,1,0,0,0,1,12,False
@user thnk u spic flair,1,0,1,0,1,1,1,0,1,1,1,0,0,1,5,False
@user stop making gay u faggot,0,1,1,1,1,1,0,0,1,1,0,1,0,2,6,False
@user @user witch muslim country shithole? #crickets,1,0,1,0,1,1,1,1,0,0,1,0,0,1,7,False
keep mind.. call faggot spanish mean can\'t still understand you.,1,0,1,1,1,0,1,1,0,1,0,0,0,2,11,False
@user @user pretty much hes little dick faggot needs ass beat reality check ain\'t shit,1,0,1,1,1,0,1,0,1,1,0,1,0,1,16,False
@user retard.,1,0,1,1,1,0,1,0,1,1,0,0,0,1,2,False
@user @user ching chong ching ching jackie chan,0,0,1,0,0,1,0,1,0,1,0,0,0,1,8,False
@user (shithole countries sons bitches bleeding whatever sleepy eyes grab @url,1,1,1,1,1,0,0,1,0,1,0,0,0,2,11,False
